observation_date,USALORSGPNOSTSAM
2010-01-01,98.66520000000000
2010-02-01,98.81630000000000
2010-03-01,98.97269000000000
2010-04-01,99.13218999999999
2010-05-01,99.28815000000000
2010-06-01,99.43206000000001
2010-07-01,99.55607000000001
2010-08-01,99.65253000000000
2010-09-01,99.71471000000000
2010-10-01,99.73933000000000
2010-11-01,99.72645000000000
2010-12-01,99.68182000000000
2011-01-01,99.62172000000000
2011-02-01,99.56438000000000
2011-03-01,99.52235000000000
2011-04-01,99.49458000000000
2011-05-01,99.47581000000000
2011-06-01,99.46468000000000
2011-07-01,99.47114999999999
2011-08-01,99.50879999999999
2011-09-01,99.58593999999999
2011-10-01,99.69413000000000
2011-11-01,99.81706000000000
2011-12-01,99.93684000000000
2012-01-01,100.03919999999999
2012-02-01,100.11290000000000
2012-03-01,100.15089999999999
2012-04-01,100.15250000000000
2012-05-01,100.12030000000000
2012-06-01,100.06010000000001
2012-07-01,99.98201000000000
2012-08-01,99.89824000000000
2012-09-01,99.82144000000000
2012-10-01,99.76358999999999
2012-11-01,99.73363000000001
2012-12-01,99.73361000000000
2013-01-01,99.75275999999999
2013-02-01,99.77692000000000
2013-03-01,99.79646000000000
2013-04-01,99.81368000000001
2013-05-01,99.83587000000000
2013-06-01,99.86842000000000
2013-07-01,99.90746000000000
2013-08-01,99.94359000000000
2013-09-01,99.96487000000000
2013-10-01,99.96008999999999
2013-11-01,99.92341999999999
2013-12-01,99.86076000000000
2014-01-01,99.79823000000000
2014-02-01,99.76767000000000
2014-03-01,99.79205000000000
2014-04-01,99.86874000000000
2014-05-01,99.98190000000000
2014-06-01,100.11100000000000
2014-07-01,100.23650000000001
2014-08-01,100.34310000000001
2014-09-01,100.42319999999999
2014-10-01,100.48180000000001
2014-11-01,100.52830000000000
2014-12-01,100.57030000000000
2015-01-01,100.60800000000000
2015-02-01,100.63720000000001
2015-03-01,100.65210000000000
2015-04-01,100.64940000000000
2015-05-01,100.62660000000000
2015-06-01,100.58310000000000
2015-07-01,100.52110000000000
2015-08-01,100.44459999999999
2015-09-01,100.35890000000001
2015-10-01,100.27209999999999
2015-11-01,100.19190000000000
2015-12-01,100.12309999999999
2016-01-01,100.06420000000000
2016-02-01,100.01179999999999
2016-03-01,99.96378000000000
2016-04-01,99.92219000000000
2016-05-01,99.89066000000000
2016-06-01,99.87118000000000
2016-07-01,99.86028000000000
2016-08-01,99.85223000000001
2016-09-01,99.84161000000000
2016-10-01,99.82565000000000
2016-11-01,99.80367000000000
2016-12-01,99.77682000000000
2017-01-01,99.74840000000000
2017-02-01,99.72295000000000
2017-03-01,99.70569000000000
2017-04-01,99.70166000000000
2017-05-01,99.71575000000000
2017-06-01,99.75185999999999
2017-07-01,99.81070000000000
2017-08-01,99.89079000000000
2017-09-01,99.98766999999999
2017-10-01,100.09180000000001
2017-11-01,100.19180000000000
2017-12-01,100.27790000000000
2018-01-01,100.34500000000000
2018-02-01,100.39080000000000
2018-03-01,100.41520000000000
2018-04-01,100.42120000000000
2018-05-01,100.41240000000001
2018-06-01,100.39000000000000
2018-07-01,100.35320000000000
2018-08-01,100.30080000000000
2018-09-01,100.23460000000000
2018-10-01,100.16430000000000
2018-11-01,100.10230000000000
2018-12-01,100.06059999999999
2019-01-01,100.04559999999999
2019-02-01,100.06080000000000
2019-03-01,100.10740000000000
2019-04-01,100.18230000000000
2019-05-01,100.28000000000000
2019-06-01,100.39319999999999
2019-07-01,100.51060000000000
2019-08-01,100.62070000000000
2019-09-01,100.71520000000000
2019-10-01,100.79290000000000
2019-11-01,100.85469999999999
2019-12-01,100.90049999999999
2020-01-01,100.92590000000000
2020-02-01,100.92350000000000
2020-03-01,95.57449000000000
2020-04-01,93.23018999999999
2020-05-01,92.02607999999999
2020-06-01,93.91477000000000
2020-07-01,95.78439000000000
2020-08-01,97.63110000000000
2020-09-01,97.77527000000001
2020-10-01,97.92089000000000
2020-11-01,98.07908000000000
2020-12-01,98.35726000000000
